system_number,accession_number,LocationString,Room
48430,1950.17,"Art Gallery (Kahn), Kahn, 200",200
60251,1993.95.1,"Art Gallery (Kahn), Kahn, 200",200
78710,2000.74.1,"Art Gallery (Kahn), Kahn, 200",200
75013,2000.111.1,"Art Gallery (Kahn), Kahn, 200",200
51338,1955.4.145,"Art Gallery (Kahn), Kahn, 200",200
16015,1954.48.14,"Art Gallery (Kahn), Kahn, 200",200
40542,1928.382,"Art Gallery (Kahn), Kahn, 200",200
4141,1930.25,"Art Gallery (Kahn), Kahn, 200",200
94512,2003.70.1,"Art Gallery (Kahn), Kahn, 200",200
141473,2009.198.5,"Art Gallery (Kahn), Kahn, 200",200
15425,1940.374,"Art Gallery (Kahn), Kahn, 200",200
60043,1986.78.4,"Art Gallery (Kahn), Kahn, 200",200
50104,1949.278,"Art Gallery (Kahn), Kahn, 200",200
161250,2010.185.1,"Art Gallery (Kahn), Kahn, 200",200
92088,2003.5.1,"Art Gallery (Kahn), Kahn, 200",200
211836,2021.55.4,"Art Gallery (Kahn), Kahn, 200",200
211834,2021.55.2,"Art Gallery (Kahn), Kahn, 200",200
141523,2023.119.1,"Art Gallery (Kahn), Kahn, 200",200
219036,2017.72.1,"Art Gallery (Kahn), Kahn, 200",200
51202,1955.4.143,"Art Gallery (Kahn), Kahn, 200",200
63838,ILE1984.13,"Art Gallery (Kahn), Kahn, 200",200
77954,1999.133.13,"Art Gallery (Kahn), Kahn, 200",200
107785,2005.61.3,"Art Gallery (Kahn), Kahn, 200",200
9096,1969.55.6,"Art Gallery (Kahn), Kahn, 200",200
60489,1995.17.1,"Art Gallery (Kahn), Kahn, 200",200
9071,1969.55.1,"Art Gallery (Kahn), Kahn, 200",200
7468,1958.63.5,"Art Gallery (Kahn), Kahn, 200",200
52296,1953.24.25,"Art Gallery (Kahn), Kahn, 200",200
52388,1953.27.27,"Art Gallery (Kahn), Kahn, 200",200
52227,1953.27.30,"Art Gallery (Kahn), Kahn, 200",200
9078,1969.55.3,"Art Gallery (Kahn), Kahn, 200",200
59392,1992.36.1,"Art Gallery (Kahn), Kahn, 200",200
9088,1969.55.4,"Art Gallery (Kahn), Kahn, 200",200
9107,1969.55.8,"Art Gallery (Kahn), Kahn, 200",200
9093,1969.55.5,"Art Gallery (Kahn), Kahn, 200",200
52460,1953.27.28,"Art Gallery (Kahn), Kahn, 200",200
50370,1952.52.26,"Art Gallery (Kahn), Kahn, 200",200
103195,2004.123.1a-c,"Art Gallery (Kahn), Kahn, 200",200
15143,1940.327,"Art Gallery (Kahn), Kahn, 200",200
144890,2009.206.1,"Art Gallery (Kahn), Kahn, 200",200
174218,2012.71.1,"Art Gallery (Kahn), Kahn, 200",200
144900,2009.206.2,"Art Gallery (Kahn), Kahn, 200",200
78402,2000.36.1,"Art Gallery (Kahn), Kahn, 200",200
49474,1951.51.65,"Art Gallery (Kahn), Kahn, 200",200
27176,1983.68,"Art Gallery (Kahn), Kahn, 200",200
198149,2017.53.2a-b,"Art Gallery (Kahn), Kahn, 200",200
9022,1971.91.3,"Art Gallery (Kahn), Kahn, 200",200
99291,2004.50.1,"Art Gallery (Kahn), Kahn, 200",200
142432,2010.10.1a-b,"Art Gallery (Kahn), Kahn, 200",200
219882,ILE2017.13.2,"Art Gallery (Kahn), Kahn, 200",200
219883,ILE2017.13.3,"Art Gallery (Kahn), Kahn, 200",200
219881,ILE2017.13.1,"Art Gallery (Kahn), Kahn, 200",200
77558,1999.104.1,"Art Gallery (Kahn), Kahn, 200",200
9442,1959.39.1,"Art Gallery (Kahn), Kahn, 200",200
8923,1967.64.1,"Art Gallery (Kahn), Kahn, 200",200
183889,2014.105.3,"Art Gallery (Kahn), Kahn, 200",200
50378,1952.52.30,"Art Gallery (Kahn), Kahn, 200",200
115963,2006.232.12a-b,"Art Gallery (Kahn), Kahn, 200",200
14047,1940.16,"Art Gallery (Kahn), Kahn, 200",200
